unit_id,display_name,faction,role,delivery_tier,portrait_asset_key,battle_asset_key,weapon_icon_key,visual_family,notes
enemy-jiameng-gatewarden,Gate Warden,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,gate-halberd__icon,archetype-wei-guardian,Fortress guard recolor
enemy-jiameng-sentry,Stonewall Sentry,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,gate-halberd__icon,archetype-wei-guardian,Stone fort variant
enemy-jiameng-guard-a,Gate Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,gate-halberd__icon,archetype-wei-guardian,Shared guard asset
enemy-jiameng-guard-b,Gate Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,gate-halberd__icon,archetype-wei-guardian,Shared guard asset
enemy-hanshui-shield-captain,Shield Captain,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,river-shield-spear__icon,archetype-wei-guardian,River army guardian variant
enemy-hanshui-guard,River Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,river-shield-spear__icon,archetype-wei-guardian,River guard recolor
enemy-wei_vanguard_captain,Wei Vanguard Captain,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,guardian-spear__icon,archetype-wei-guardian,Standard guardian captain
enemy-wei_shieldman,Wei Shieldman,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,guardian-shield-spear__icon,archetype-wei-guardian,Standard shield infantry
enemy-bowang-archer,Wei Archer,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,wei-war-bow__icon,archetype-wei-ranger,Shared Wei archer family
enemy-bowang-hunter,Hidden Bow,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,wei-war-bow__icon,archetype-wei-ranger,Hidden hunter recolor
enemy-wei_bow_captain,Wei Bow Captain,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,wei-war-bow__icon,archetype-wei-ranger,Captain variant
enemy-pursuit_bowman,Pursuit Bowman,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,pursuit-bow__icon,archetype-wei-ranger,Pursuit palette variant
enemy-jiameng-bow-captain,Bow Captain,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,fort-bow__icon,archetype-wei-ranger,Pass defense variant
enemy-hanshui-bow-captain,Bow Captain,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,river-bow__icon,archetype-wei-ranger,River army variant
enemy-hanshui-deadeye,Wei Deadeye,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,river-bow__icon,archetype-wei-ranger,Elite archer recolor
enemy-wei_archer_captain,Wei Archer Captain,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,wei-war-bow__icon,archetype-wei-ranger,Standard captain variant
enemy-wei_deadeye,Wei Deadeye,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,archetype-wei-ranger__battle,wei-war-bow__icon,archetype-wei-ranger,Elite archer recolor
enemy-bowang-rider,Wei Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,raider-lance__icon,archetype-wei-raider,Shared Wei raider family
enemy-bowang-rearguard,Wei Rearguard,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,raider-lance__icon,archetype-wei-raider,Rear guard variant
enemy-cavalry_scout,Cavalry Scout,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,light-lance__icon,archetype-wei-raider,Light cavalry variant
enemy-tiger_leopard_rider_a,Tiger Leopard Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,tiger-leopard-lance__icon,archetype-wei-raider,Elite rider asset shared with B
enemy-tiger_leopard_rider_b,Tiger Leopard Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,tiger-leopard-lance__icon,archetype-wei-raider,Elite rider asset shared with A
enemy-jiameng-lancer,Pass Lancer,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,fort-lance__icon,archetype-wei-raider,Pass lancer recolor
enemy-hanshui-river-rider,River Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,river-lance__icon,archetype-wei-raider,River rider recolor
enemy-hanshui-raider,Hanshui Raider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,river-lance__icon,archetype-wei-raider,River assault variant
enemy-wei_skirmisher,Wei Skirmisher,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,archetype-wei-raider__battle,light-lance__icon,archetype-wei-raider,Standard raider
enemy-jiameng-commandant,Jiameng Commandant,Enemy,Commander,P1-Shared,archetype-wei-commandant__portrait,archetype-wei-commandant__battle,command-blade__icon,archetype-wei-commandant,Shared non-boss commander family
enemy-hanshui-commander,Hanshui Commander,Enemy,Commander,P1-Shared,archetype-wei-commandant__portrait,archetype-wei-commandant__battle,command-blade__icon,archetype-wei-commandant,Shared non-boss commander family
